x, y
3.7378512493760425, -49.687787277867244
-2.666118565933587, -48.19370044996786
-8.431453152068592, -47.800548808725644
0.18681915612062028, -46.90365434727013
9.437120122148158, -46.6111406788916
21.02174296033121, -45.87183864746988
30.6981677775494, -45.59923139130615
37.71654872713391, -44.62049945741203
45.95714537393194, -43.22096808753292
32.458819038670455, -42.06916095854904
21.018439674663057, -41.535558520013545
11.397069618580609, -40.26763065311003
5.637240508559174, -39.171672069506556
18.02015738321049, -38.348873697961665
28.487168570337957, -37.73232787519785
38.09532548374783, -37.40000138238974
44.3319288252048, -36.61646287937958
52.90946061015356, -36.00655252735404
39.108333088645495, -35.2091901269725
23.681989018410306, -34.551725567989386
9.976656781278443, -33.69962053401716
-0.33289778900079625, -33.03662641608549
-10.465176028422938, -32.26248816328788
0.14057315676659243, -31.036031988498518
9.075960889097686, -30.619656199672374
23.602710162374834, -29.840541343821066
35.474718853686454, -28.382396649087276
43.56997093108612, -27.184694180830405
48.077854772880755, -26.48188723846914
33.004962269137025, -25.52140284910525
19.197228176292683, -24.715193154406023
7.947338285814951, -23.692224748923465
-8.229952726311772, -22.834590156002683
-24.166103884663947, -22.373424939693248
-39.163020818040344, -21.984143989715022
-44.27540593710544, -20.82459547820317
-49.751152479666445, -19.882358633369506
-42.68322224505975, -18.69848006248402
-32.928619667028805, -18.289292700290996
-21.804254631940573, -17.594780096352565
-6.332765657574072, -16.79354700470704
5.673576650908764, -16.031573781596247
17.014857444871822, -15.235870248899275
27.50168834600815, -14.108393179289038
38.195525149014884, -12.939997373459502
45.89878732712805, -10.527450804205234
58.304827201456376, -9.563648679472205
73.40414599054525, -9.303759408890151
91.68783216372552, -8.936596694706143
107.86732536629768, -8.524091597143986
120.2227148603811, -8.166882089067375
136.0652729248025, -7.917498980487572
152.24696831782012, -6.780621660664792
138.63302698417357, -6.03800189387394
126.44610505916549, -5.914139773426328
112.5822151099627, -5.455739336591165
97.5335467011187, -4.499678594386118
83.90529112957688, -2.8142690268667465
73.25659923070147, 0.9259246459354245
86.2120856211645, 2.5930866689245633
99.36687024693893, 4.483089917540447
110.78082332560118, 5.421456071110121
117.02293214317172, 6.523497169557011
106.97543823589862, 8.191212148441004
110.74558827847432, 8.710437733710258
96.96648266142054, 9.282747084885635
84.20148574448717, 9.882151274908928
65.0864726781572, 11.23246957014591
45.21720938426755, 12.144293840762522
27.512699298235304, 13.069942008750523
6.359558974660125, 14.69673825141522
-10.322033649470008, 16.055350885075022
-20.123983322077695, 17.496906902963147
-11.16327039962416, 19.138079998894085
-1.7555128167483929, 19.47427718296619
10.583360248994332, 19.772873366188122
20.739862583316196, 20.13782425679271
34.07853011128401, 20.571894634254228
45.01130457761987, 20.856113964209925
58.294917344451946, 21.147521720798743
69.65381566197844, 21.37865728484831
83.29308218574741, 21.840375457052602
95.29942449423024, 22.153348493540776
108.26812402736587, 22.407155249279427
119.83953372287635, 22.740034697982395
133.72654667175615, 23.13539816280403
144.64720909064215, 23.562833069527287
151.77680065772086, 23.91119528328621
137.65965880729365, 24.697498565770644
126.05851954076988, 24.88882130539062
112.1593945444402, 24.987800410569747
98.30541445224182, 25.265937225682038
84.24663064861849, 25.54739177616345
69.85531608773526, 25.769680045895328
57.467994832193085, 26.23526890936361
42.16056904601109, 26.67155111040455
26.621913263058985, 27.340627743179624
12.606072173121525, 28.631226801772215
-1.0243855888657265, 29.25219627169487
-13.422717796635055, 29.965509376058392
-23.74548550958687, 30.449345784056888
-30.71872155504008, 31.23177837527733
-18.288457585812022, 32.188392073377244
-7.974498634641925, 33.11846388852409
0.5688991984026757, 33.45521402849104
12.390257509469414, 33.87656642037089
23.44635464074932, 34.30400132709414
32.74180051090818, 35.78758199299128
20.677100155621446, 37.01956772672919
9.82690783098922, 37.50229822293798
-1.3161758228851639, 37.6311369464393
-11.522227442229209, 38.4450880236665
-23.560501512170774, 38.67622358771608
-30.887189124115455, 39.63560206529026
-17.001277270458353, 40.50318986431844
-6.881111078486072, 41.17116058530381
3.2599759227177927, 42.047042722754824
18.709442992630002, 42.89527706546306
8.135625568899194, 43.662226891627554
-0.7171800217282822, 44.168181535420274
-5.251490148868079, 45.107653600779656
2.5971165986434457, 46.49833767634108
9.499882549842908, 47.26141681124159
-0.11488093490325468, 48.53819197246278
-9.629444754382362, 49.553418995417374
