Year,First Night,Second Night,Time difference (hours),,,,,,,,,,,
,Nov. 10th,Nov. 11th,-,,,,,jc689700,jc183206,19.84,,jc039045,jc763767,29.57
,jc633668,jc041076,19.89,,,,,Nov. 10th,Nov. 11th,-,,jc039045,jc790794,29.61
,Dec. 23rd,Dec. 24th,-,,,,,jc633668,jc041076,19.89,,jc056062,jc763767,29.54
,jc647666,jc061096,20.27,,,,,Dec. 23rd,Dec. 24th,-,,jc056062,jc790794,29.58
,jc647666,jc155168,20.76,,,,,jc647666,jc061096,20.27,,jc031037,jc763767,29.58
,jc647666,jc001020,20.11,,,,,jc647666,jc155168,20.76,,jc031037,jc790794,29.62
,jc721738,jc061096,19.92,,,,,jc647666,jc001020,20.11,,,,
,jc721738,jc155168,20.41,,,,,jc721738,jc061096,19.92,,,,
,jc721738,jc001020,19.76,,,,,jc721738,jc155168,20.41,,,,
2021,Jun 7th,Jun 8th,-,,,,,jc721738,jc001020,19.76,,,,
,jc585618,jc065092,19.21,,,,2021,Jun 7th,Jun 8th,-,,,,
,jc031062,jc722751,29.5,,,,,jc585618,jc065092,19.21,,,,
,July 21st,July 22nd,-,,,,,jc031062,jc722751,29.5,,,,
,jc551572,jc031066,20.53,,,,,July 21st,July 22nd,-,,,,
,jc909922,jc193228,20.06,,,,,jc551572,jc031066,20.53,,,,
,jc909922,jc031066,19.19,,,,,jc909922,jc193228,20.06,,,,
,jc10251060,jc549584,20.81,,,,,jc909922,jc031066,19.19,,,,
,jc10251060,jc193228,19.32,,,,,jc10251060,jc549584,20.81,,,,
,jc10251060,jc433468,20.41,,,,,jc10251060,jc193228,19.32,,,,
,jc727756,jc193228,20.72,,,,,jc10251060,jc433468,20.41,,,,
,jc727756,jc031066,19.85,,,,,jc727756,jc193228,20.72,,,,
,jc031064,jc10491082,29.3,,,,,jc727756,jc031066,19.85,,,,
,jc607618,jc031066,20.39,,,,,jc031064,jc10491082,29.3,,,,
,Sept 4th,Sept 5th,-,,,,,jc607618,jc031066,20.39,,,,
,jc635662,jc231260,20.19,,,,,Sept 4th,Sept 5th,-,,,,
,jc483512,jc033055,20.09,,,,,jc635662,jc231260,20.19,,,,
,Oct 17th,Oct 18th,-,,,,,jc483512,jc033055,20.09,,,,
,jc867902,jc081116,19.98,,,,,Oct 17th,Oct 18th,-,,,,
,jc045070,jc579614,29.22,,,,,jc867902,jc081116,19.98,,,,
2022,Jan 14th,Jan 15th,-,,,,,jc045070,jc579614,29.22,,,,
,jc713732,jc090091,20.02,,,,,,,,,,,
,Apr 8th,Apr 9th,-,,,,,,,,,,,
,jc049050,jc10291032,29.63,,,,,,,,,,,
,jc371372,jc043076,20.65,,,,,,,,,,,
,jc601602,jc043076,19.44,,,,,,,,,,,
,jc601602,jc233256,20.52,,,,,,,,,,,
,jc491506,jc043076,19.74,,,,,,,,,,,
,jc491506,jc233256,20.81,,,,,,,,,,,
,May 21st,May 22nd,-,,,,,,,,,,,
,jc371397,jc301326,20.43,,,,,,,,,,,
,July 8th,July 9th,-,,,,,,,,,,,
,jc634661,jc031066,18.92,,,,,,,,,,,
,jc031064,jc10191086,29.64,,,,,,,,,,,
,jc031064,jc895930,29.13,,,,,,,,,,,
,Aug 17th,Aug 18th,-,,,,,,,,,,,
,jc549580,jc265296,20.53,,,,,,,,,,,
,jc549580,jc037056,19.19,,,,,,,,,,,
2023,May 16th,May 17th,-,,,,,,,,,,,
,jc786797,jc011012,20.07,,,,,,,,,,,
,jc786797,jc089118,20.22,,,,,,,,,,,
,jc786797,jc347414,20.76,,,,,,,,,,,
,jc031054,jc19792030,29.88,,,,,,,,,,,
,jc031054,jc17371764,29.48,,,,,,,,,,,
,jc031054,jc19191920,29.75,,,,,,,,,,,
,jc031054,jc16591674,29.1,,,,,,,,,,,
,jc031054,jc18111876,29.63,,,,,,,,,,,
,jc786793,jc011012,20.08,,,,,,,,,,,
,jc786793,jc089118,20.22,,,,,,,,,,,
,jc786793,jc347414,20.76,,,,,,,,,,,
,June 23rd,June 24th,-,,,,,,,,,,,
,jc089090,jc773774,29.03,,,,,,,,,,,
,jc121154,jc773774,28.89,,,,,,,,,,,
,Oct. 14th,Oct. 15th,-,,,,,,,,,,,
,jc631664,jc119154,19.8,,,,,,,,,,,
,Nov. 22nd,Nov. 23rd,-,,,,,,,,,,,
,jc759785,jc165200,19.2,,,,,,,,,,,
,jc575609,jc165200,20,,,,,,,,,,,
,Dec. 28th,Dec. 29th,-,,,,,,,,,,,
,jc507541,jc173208,19.44,,,,,,,,,,,
2024,Aug. 16th,Aug 17th,-,,,,,,,,,,,
,jc183201,jc042065,18.91,,,,,,,,,,,
,jc183201,jc329353,20.2,,,,,,,,,,,
,jc183201,jc148182,19.37,,,,,,,,,,,
,jc523554,jc042065,20.52,,,,,,,,,,,
,jc815843,jc042065,18.91,,,,,,,,,,,
,jc815843,jc329353,20.2,,,,,,,,,,,
,jc815843,jc148182,19.37,,,,,,,,,,,
